"man-pages","5.13","lfs"
"iana-etc","20220207","lfs"
"glibc","2.35","lfs"
"zlib","1.2.12","lfs"
"bzip2","1.0.8","lfs"
"xz","5.2.5","lfs"
"zstd","1.5.2","lfs"
"file","5.41","lfs"
"readline","8.1.2","lfs"
"m4","1.4.19","lfs"
"bc","5.2.5","lfs"
"flex","2.6.4","lfs"
"tcl","8.6.12","lfs"
"expect","5.45.4","lfs"
"dejagnu","1.6.3","lfs"
"binutils","2.38","lfs"
"gmp","6.2.1","lfs"
"mpfr","4.1.0","lfs"
"mpc","1.2.1","lfs"
"isl","0.24","lfs"
"attr","2.5.1","lfs"
"acl","2.3.1","lfs"
"libcap","2.64","blfs"
"shadow","4.11.1","blfs"
"gcc","12.1.0","lfs"
"pkg-config","0.29.2","lfs"
"ncurses","6.3","lfs"
"sed","4.8","lfs"
"psmisc","23.5","lfs"
"gettext","0.21","lfs"
"bison","3.8.2","lfs"
"grep","3.7","lfs"
"bash","5.1.16","lfs"
"libtool","2.4.7","lfs"
"gdbm","1.23","lfs"
"gperf","3.1","lfs"
"expat","2.4.8","lfs"
"inetutils","2.2","lfs"
"less","590","lfs"
"perl","5.34.1","lfs"
"XML-Parser","2.46","lfs"
"intltool","0.51.0","lfs"
"autoconf","2.71","lfs"
"automake","1.16.5","lfs"
"openssl","3.0.3","lfs"
"kmod","29","lfs"
"elfutils","0.187","lfs"
"libffi","3.4.2","lfs"
"Python","3.10.4","lfs"
"wheel","0.37.1","lfs"
"ninja","1.10.2","lfs"
"meson","0.62.1","lfs"
"coreutils","9.1","lfs"
"check","0.15.2","lfs"
"diffutils","3.8","lfs"
"gawk","5.1.1","lfs"
"findutils","4.9.0","lfs"
"groff","1.22.4","lfs"
"gzip","1.12","lfs"
"iproute2","5.17.0","lfs"
"kbd","2.4.0","lfs"
"libpipeline","1.5.6","lfs"
"make","4.3","lfs"
"patch","2.7.6","lfs"
"tar","1.34","lfs"
"texinfo","6.8","lfs"
"eudev","3.2.11","lfs"
"man-db","2.10.2","lfs"
"procps-ng","4.0.0","lfs"
"util-linux","2.38","lfs"
"e2fsprogs","1.46.5","lfs"
"sysklogd","1.5.1","lfs"
"lz4","1.9.3","https://github.com/lz4/lz4"
"linux","5.17.9","lfs"
"cpio","2.13","blfs"
"mandoc","1.14.6","blfs"
"efivar","38","blfs"
"popt","1.18","blfs"
"efibootmgr","17","blfs"
"libpng","1.6.37","blfs"
"which","2.21","blfs"
"freetype","2.12.1","blfs"
"icu","71.1","blfs"
"libuv","1.44.1","blfs"
"libtasn1","4.18.0","blfs"
"p11-kit","0.24.1","blfs"
"make-ca","1.10","blfs"
"wget","1.21.3","blfs"
"curl","7.83.1","blfs"
"libxml2","2.9.14","blfs"
"lzo","2.10","blfs"
"nettle","3.7.3","blfs"
"libarchive","3.6.1","blfs"
"nghttp2","1.47.0","blfs"
"cmake","3.23.1","blfs"
"graphite2","1.3.14","blfs"
"harfbuzz","4.2.1","blfs"
"brotli","1.0.9","blfs"
"libaio","0.3.113","blfs"
"LVM2","2.03.15","blfs"
"grub","2.06","blfs"
"runit","2.1.2","http://smarden.org/runit"
"dash","0.5.11.5","blfs"
"btrfs-progs","5.17","blfs"
"dosfstools","4.2","blfs"
"fuse","3.11.0","blfs"
"c-ares","1.18.1","blfs"
"libunistring","1.0","blfs"
"sgml-common","0.6.3","blfs"
"unzip","6.0","blfs"
"docbook-xml","4.5","blfs"
"sqlite","3.38.5","blfs"
"Python","2.7.18","blfs"
"py2.libxml2","2.9.14","blfs"
"zip","3.0","blfs"
"libxslt","1.1.35","blfs"
"docbook-xsl-nons","1.79.2","blfs"
"itstool","2.0.7","blfs"
"py3.pygments","2.12.0","blfs"
"py3.lxml","4.8.0","blfs"
"py3.six","1.16.0","blfs"
"gdb","12.1","blfs"
"valgrind","3.19.0","blfs"
"pcre","8.45","blfs"
"glib","2.72.1","blfs"
"gtk-doc","1.33.2","blfs"
"libidn2","2.3.2","blfs"
"rpcsvc-proto","1.4.3","blfs"
"libtirpc","1.3.2","blfs"
"libnsl","2.0.0","blfs"
"pth","2.0.7","blfs"
"libidn","1.38","blfs"
"libseccomp","2.5.4","blfs"
"gnutls","3.7.5","blfs"
"libpsl","0.21.1","blfs"
"Linux-PAM","1.5.2","blfs"
"cracklib","2.9.7","blfs"
"libpwquality","1.4.4","blfs"
"openssh","9.0p1","blfs"
"libgpg-error","1.45","blfs"
"libgcrypt","1.10.1","blfs"
"libassuan","2.5.5","blfs"
"libksba","1.6.0","blfs"
"npth","1.6","blfs"
"pinentry","1.2.0","blfs"
"libusb","1.0.26","blfs"
"gnupg","2.3.6","blfs"
"libssh2","1.10.0","blfs"
"pcre2","10.40","blfs"
"xmlto","0.0.28","blfs"
"py3.asciidoc","10.1.4","blfs"
"git","2.36.1","blfs"
"doxygen","1.9.4","blfs"
"sudo","1.9.10","blfs"
"neovim","0.7.0","https://github.com/neovim/neovim"
"pciutils","3.8.0","blfs"
"linux-firmware","20220509","https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git"
"gpgme","1.17.1","blfs"
"libnl","3.6.0","blfs"
"libpcap","1.10.1","blfs"
"iptables","1.8.8","blfs"
"nspr","4.33","blfs"
"nss","3.78","blfs"
"smartmontools","7.3","blfs"
"sshfs","3.7.2","blfs"
"libsigsegv","2.14","blfs"
"acpid","2.0.33","blfs"
"pm-utils","1.4.1","blfs"
"lua","5.4.4","blfs"
"jansson","2.14","blfs"
"rustc","1.60.0","blfs"
"node","16.15.0","blfs"
"alsa-lib","1.2.6.1","blfs"
"giflib","5.2.1","blfs"
"yasm","1.3.0","blfs"
"nasm","2.15.05","blfs"
"libjpeg-turbo","2.1.3","blfs"
"libtiff","4.3.0","blfs"
"lcms2","2.13.1","blfs"
"json-c","0.16","blfs"
"fontconfig","2.14.0","blfs"
"fribidi","1.0.11","blfs"
"pixman","0.40.0","blfs"
"cups","2.4.1","blfs"
"openjpeg","2.5.0","blfs"
"libpaper","1.1.24+nmu5","blfs"
"ghostscript","9.56.1","blfs"
"cairo","1.17.6","blfs"
"gobject-introspection","1.72.0","blfs"
"util-macros","1.19.3","blfs"
"xorgproto","2022.1","blfs"
"libXau","1.0.9","blfs"
"libXdmcp","1.1.3","blfs"
"xcb-proto","1.15","blfs"
"libxcb","1.15","blfs"
"dbus","1.14.0","blfs"
"llvm","14.0.1","blfs"
"clang","14.0.1","blfs"
"compiler-rt","14.0.1","blfs"
"js","91.9.1","blfs"
"elogind","246.10","blfs"
"py3.dbus-python","1.2.18","blfs"
"py2.dbus-python","1.2.18","blfs"
"py3.dbusmock","0.27.5","blfs"
"polkit","0.120","blfs"
"xtrans","1.4.0","blfs"
"libX11","1.8","blfs"
"libXext","1.3.4","blfs"
"libFS","1.0.8","blfs"
"libICE","1.0.10","blfs"
"libSM","1.2.3","blfs"
"libXScrnSaver","1.2.3","blfs"
"libXt","1.2.1","blfs"
"libXmu","1.1.3","blfs"
"libXpm","3.5.13","blfs"
"libXaw","1.0.14","blfs"
"libXfixes","6.0.0","blfs"
"libXcomposite","0.4.5","blfs"
"libXrender","0.9.10","blfs"
"libXcursor","1.2.1","blfs"
"libXdamage","1.1.5","blfs"
"libfontenc","1.1.4","blfs"
"libXfont2","2.0.5","blfs"
"libXft","2.3.4","blfs"
"libXi","1.8","blfs"
"libXinerama","1.1.4","blfs"
"libXrandr","1.5.2","blfs"
"libXres","1.2.1","blfs"
"libXtst","1.2.3","blfs"
"libXv","1.0.11","blfs"
"libXvMC","1.0.13","blfs"
"libXxf86dga","1.1.5","blfs"
"libXxf86vm","1.1.4","blfs"
"libdmx","1.1.4","blfs"
"libpciaccess","0.16","blfs"
"libxkbfile","1.1.0","blfs"
"libxshmfence","1.3","blfs"
"libxcvt","0.1.1","blfs"
"xcb-util","0.4.0","blfs"
"xcb-util-image","0.4.0","blfs"
"xcb-util-keysyms","0.4.0","blfs"
"xcb-util-renderutil","0.3.9","blfs"
"xcb-util-wm","0.4.1","blfs"
"xcb-util-cursor","0.1.3","blfs"
"MarkupSafe","2.1.1","blfs"
"Mako","1.2.0","blfs"
"libatomic_ops","7.6.12","blfs"
"libdrm","2.4.110","blfs"
"libva","2.14.0","blfs"
"libvdpau","1.5","blfs"
"wayland","1.21.0","blfs"
"wayland-protocols","1.26","blfs"
"libunwind","1.6.2","blfs"
"lm-sensors","3-6-0","blfs"
"mesa","21.3.7","blfs"
"xbitmaps","1.1.2","blfs"
"iceauth","1.0.9","blfs"
"luit","1.1.1","blfs"
"mkfontscale","1.2.2","blfs"
"sessreg","1.2.2","blfs"
"setxkbmap","1.1.2","blfs"
"smproxy","1.0.6","blfs"
"x11perf","1.6.1","blfs"
"xauth","1.1.2","blfs"
"xbacklight","1.2.3","blfs"
"xcmsdb","1.0.5","blfs"
"xcursorgen","1.0.7","blfs"
"xdpyinfo","1.3.3","blfs"
"xdriinfo","1.0.6","blfs"
"xev","1.2.4","blfs"
"xgamma","1.0.6","blfs"
"xhost","1.0.8","blfs"
